Feature,LR,SVR,LSTM,RF,XGB
1,0.12651,0.12615,0.18341,0.10474,0.09497
2,0.12654,0.12615,0.19266,0.08417,0.06689
3,0.12626,0.12615,0.18997,0.10648,0.09213
