Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,pe-ratio,ps-ratio,pb-ratio,Ticker
2010-01-04,39.45372197411655,39.898529612205145,39.362322914362515,39.89243698120117,2734897.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-05,39.849781532700675,40.14834921923984,39.59386465947175,39.916805267333984,2584717.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-06,39.88024359375329,40.13006781445136,39.75228636767636,40.06304168701172,2166413.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-07,40.03257611644952,40.70283503197757,39.70963551767742,40.53831481933594,3336865.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-08,40.733299328178504,40.96484328006836,40.325054695050504,40.79423522949219,2634386.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-11,41.068423738898495,41.342620877016735,40.64189645649674,40.8978157043457,3238734.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-12,41.19029011109901,41.67774848438826,40.34942081916521,40.39816665649414,5088774.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-13,40.11179475168354,40.934379123518326,39.813224638817786,40.763771057128906,2862748.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-14,41.220759916303244,41.53761030877093,40.65409246420587,40.94656753540039,3208693.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-15,41.01358689992213,41.531513248936825,40.367705719246736,40.47738265991211,4560180.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-18,40.641897471265175,40.86125614670614,40.355515065816874,40.690643310546875,1542661.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-19,40.39816992044464,41.24513191080612,39.965552378202226,41.147640228271484,3792942.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-20,40.775957805026565,40.91001008893932,39.916810418512306,40.12398147583008,3487700.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-21,40.39816358959544,40.80641294457374,39.44152720430835,39.453712463378906,4532512.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-22,39.38668989150027,39.788844254507296,39.04546902535569,39.47199630737305,4919157.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-25,39.14905489381229,40.148344551887845,39.14905489381229,39.3623161315918,7458800.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-26,40.0935059068501,41.75696178405724,40.0386674401603,41.38527297973633,15113698.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-27,41.841872715258106,42.38519243537402,41.29855299514219,41.829383850097656,7006842.0,1.6,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-28,42.322750314080295,42.46014260459149,40.530418395996094,40.530418395996094,5980164.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-01-29,40.78646030012376,41.02377333653856,40.243140547987174,40.61159896850586,4796295.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-01,40.11199695028721,40.79270900822986,40.06203656759995,40.62409210205078,3700116.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-02,40.699024497964956,41.311037833685994,40.42424244840009,41.279815673828125,3649989.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-03,41.21736995884667,41.39223128848508,40.636578698719035,40.886383056640625,3509694.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-04,40.78021376587163,40.94883065585287,39.06282516136482,39.37507629394531,6495524.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-05,39.031603306985616,39.25018060411835,38.032395615451264,38.51326370239258,7996556.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-08,39.09251305857752,39.596931877308855,38.81508022614351,39.44560623168945,3740962.0,0.570458,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-09,39.64106811990768,40.02568934493125,39.30058664581078,39.710426330566406,4171058.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-10,39.94372925155534,40.3914016725165,39.21862641906128,39.723045349121094,4185894.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-11,39.811314853101855,40.258987217278246,39.3573353915005,39.76717758178711,3947747.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-12,40.1580982401304,40.189626278722336,38.91596500500486,39.1807861328125,3421357.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
2010-02-15,39.29428484899895,39.93111305620206,39.269063905326234,39.56541061401367,2040456.0,0.0,0.0,21.09200033898305,0.762592407084413,1.938797843149149,siemens
